year,state,handgun,long_gun,other,totals,permit,permit_recheck
1998,Alabama,10567,25723,0,36290,0,0
1998,Alaska,1365,2555,0,3920,4,0
1998,Arizona,7157,8275,0,15432,1733,0
1998,Arkansas,4649,16914,0,21563,0,0
1998,California,28641,33438,0,62079,5366,0
1998,Colorado,7925,15233,0,23158,0,0
1998,Connecticut,1521,2486,0,4007,2817,0
1998,Delaware,507,1618,0,2125,0,0
1998,District of Columbia,0,0,0,0,0,0
1998,Florida,11507,19283,0,30790,0,0
1998,Georgia,1288,1665,0,2953,473,0
1998,Guam,2,7,0,9,0,0
1998,Hawaii,1,29,0,30,401,0
1998,Idaho,1873,5033,0,6906,0,0
1998,Illinois,6207,11050,0,17257,24026,0
1998,Indiana,5357,17143,0,22500,0,0
1998,Iowa,66,6738,0,6804,7835,0
1998,Kansas,3225,9011,0,12236,0,0
1998,Kentucky,11243,20206,0,31449,0,0
1998,Louisiana,7572,19860,0,27432,0,0
1998,Maine,1210,2848,0,4058,0,0
1998,Mariana Islands,0,0,0,0,0,0
1998,Maryland,953,6405,0,7358,1638,0
1998,Massachusetts,321,1116,0,1437,0,0
1998,Michigan,127,20373,0,20500,10086,0
1998,Minnesota,1105,8967,0,10072,1999,0
1998,Mississippi,7124,18771,0,25895,0,0
1998,Missouri,4212,19753,0,23965,0,0
1998,Montana,1795,4525,0,6320,0,0
1998,Nebraska,91,4633,0,4724,1925,0
1998,Nevada,2926,3362,0,6288,0,0
1998,New Hampshire,112,2318,0,2430,0,0
1998,New Jersey,1150,2618,0,3768,0,0
1998,New Mexico,3293,5604,0,8897,0,0
1998,New York,1094,12513,0,13607,1068,0
1998,North Carolina,1899,25234,0,27133,11701,0
1998,North Dakota,423,1996,0,2419,0,0
1998,Ohio,11123,20920,0,32043,0,0
1998,Oklahoma,5460,14345,0,19805,0,0
1998,Oregon,5422,8502,0,13924,0,0
1998,Pennsylvania,18,45270,0,45288,978,0
1998,Puerto Rico,402,102,0,504,0,0
1998,Rhode Island,439,602,0,1041,0,0
1998,South Carolina,2938,6560,0,9498,0,0
1998,South Dakota,260,2472,0,2732,0,0
1998,Tennessee,9129,15441,0,24570,0,0
1998,Texas,23862,52248,0,76110,5324,0
1998,Utah,2933,7630,0,10563,0,0
1998,Vermont,658,1443,0,2101,0,0
1998,Virgin Islands,0,0,0,0,0,0
1998,Virginia,7846,17057,0,24903,0,0
1998,Washington,1825,9308,0,11133,669,0
1998,West Virginia,4344,9678,0,14022,5,0
1998,Wisconsin,3862,11558,0,15420,0,0
1998,Wyoming,970,2352,0,3322,121,0
1998 Total,0,219999,582791,0,802790,78169,0
1999,Alabama,94544,149017,0,243561,0,0
1999,Alaska,14339,27790,0,42129,2,0
1999,Arizona,78103,71365,0,149468,20503,0
1999,Arkansas,50523,126875,0,177398,4271,0
1999,California,371893,410119,0,782012,101132,0
1999,Colorado,102368,147253,0,249621,2,0
1999,Connecticut,22375,22860,0,45235,41462,0
1999,Delaware,5979,11417,0,17396,0,0
1999,District of Columbia,19,2,0,21,0,0
1999,Florida,128773,127226,0,255999,0,0
1999,Georgia,106569,138415,0,244984,46401,0
1999,Guam,86,78,0,164,0,0
1999,Hawaii,0,4,0,4,5339,0
1999,Idaho,21584,49778,0,71362,0,0
1999,Illinois,77420,108485,0,185905,296607,0
1999,Indiana,31730,171369,0,203099,0,0
1999,Iowa,649,45371,0,46020,46013,0
1999,Kansas,35809,68393,0,104202,0,0
1999,Kentucky,96183,147578,0,243761,0,0
1999,Louisiana,70507,123008,0,193515,0,0
1999,Maine,12928,33526,0,46454,0,0
1999,Mariana Islands,32,18,0,50,0,0
1999,Maryland,2054,51662,0,53716,37549,0
1999,Massachusetts,9504,9836,0,19340,1903,0
1999,Michigan,1398,182542,0,183940,123760,0
1999,Minnesota,27953,119347,0,147300,29783,0
1999,Mississippi,66980,113063,0,180043,0,0
1999,Missouri,43744,161014,0,204758,5,0
1999,Montana,19448,52290,0,71738,0,0
1999,Nebraska,615,30912,0,31527,16397,0
1999,Nevada,31387,29046,0,60433,0,0
1999,New Hampshire,11799,25779,0,37578,9,0
