ID,title,city,state,month,year,target,cause,fatalities,injured,total_victims,mental_health,race,gender
1,Texas church mass shooting,Sutherland Springs,Texas,11,2017,random,unknown,26,20,46,No,White,M
2,Walmart shooting in suburban Denver,Thornton,Colorado,11,2017,random,unknown,3,0,3,No,White,M
3,Edgewood businees park shooting,Edgewood,Maryland,10,2017,coworkers,unknown,3,3,6,No,Black,M
4,Las Vegas Strip mass shooting,Las Vegas,Nevada,10,2017,random,unknown,59,527,585,Unclear,White,M
5,San Francisco UPS shooting,San Francisco,California,6,2017,coworkers,unknown,3,2,5,Yes,Asian,M
6,Pennsylvania supermarket shooting,Tunkhannock,Pennsylvania,6,2017,coworkers,terrorism,3,0,3,Unclear,White,M
7,Florida awning manufacturer shooting,Orlando,Florida,6,2017,coworkers,unemployement,5,0,5,Unclear,unknown,M
8,Rural Ohio nursing home shooting,Kirkersville,Ohio,5,2017,coworkers,unknown,3,0,3,Yes,White,M
9,Fresno downtown shooting,Fresno,California,4,2017,random,racism,3,0,3,Unclear,Black,M
10,Fort Lauderdale airport shooting,Fort Lauderdale,Florida,1,2017,random,terrorism,5,6,11,Yes,Latino,M
11,Cascade Mall shooting,Burlington,Washington,9,2016,women,terrorism,5,0,5,Yes,unknown,M
12,Baton Rouge police shooting,Baton Rouge,Louisiana,7,2016,police,unknown,3,3,6,Yes,Black,M
13,Dallas police shooting,Dallas,Texas,7,2016,police,racism,5,11,16,Unclear,Black,M
14,Orlando nightclub massacre,Orlando,Florida,6,2016,random,unknown,49,53,102,Unclear,Other,M
15,"Ferguson, MO Drive by",Ferguson,Missouri,4,2016,random,unknown,0,4,4,Unknown,Unknown,Unknown
16,"Forestville, Maryland Drive-by",Forestville,Maryland,4,2016,unknown,unknown,1,4,5,Unknown,Unknown,Unknown
17,"Halifax County, VA",Halifax County,Virginia,4,2016,random,unknown,0,6,6,Unknown,Black American or African American,Male
18,Tire-Slashing revenge escalation,unknown,none,4,2016,random,frustration,0,4,4,Unknown,Black American or African American,Male
19,Chicago Rap video Shootout,Chicago,Illinois,4,2016,random,unknown,1,4,5,Unknown,Unknown,Unknown
20,Texas family murder-suicide,unknown,Texas,4,2016,Family,domestic dispute,4,0,4,Unknown,White American or European American,Male
21,Alabama highway random shooting,unknown,Alabama,4,2016,random,unknown,1,4,4,Yes,White American or European American,Male
22,Long Beach Street murder,unknown,none,4,2016,random,terrorism,0,3,4,Unknown,Unknown,Unknown
23,"Albuquerque, NM House party shooting",Albuquerque,New Mexico,4,2016,uninvited guests,anger,0,4,4,Unknown,White American or European American,Male
24,"Memphis, TN gas station shooting",Memphis,Tennessee,4,2016,random,anger,0,4,4,Unknown,Unknown,Unknown
25,Chicago Birthday Party Bus Shooting,Chicago,Illinois,4,2016,birthday party bus,unknown,0,5,5,Unknown,Unknown,Unknown
26,"Albuquerque, NM Family restaurant shooting",Albuquerque,New Mexico,4,2016,Family,unknown,3,1,3,Unknown,Asian American,Male
27,"Richmond, Virginia",Richmond,Virginia,3,2016,Trooper,frustration,2,2,3,Unknown,Black American or African American,Male
28,"Louisburg, North Carolina",Louisburg,North Carolina,3,2016,unknown,terrorism,3,0,3,Unknown,Black American or African American,Male
29,"Lawrenceburg, Tennessee",Lawrenceburg,Tennessee,3,2016,Family,domestic dispute,2,2,3,Unknown,Unknown,Male
30,"Greenhill, AL Family murder-suicide",Greenhill,Alabama,3,2016,Family,domestic dispute,2,2,3,Yes,White American or European American,Male
31,"Sherman, Texas Family Murder-Suicide",Sherman,Texas,3,2016,Family,domestic dispute,4,0,3,Unknown,Unknown,Male
32,"Louisville, KY Family Murder-Suicide",Louisville,Kentucky,3,2016,Family,domestic dispute,4,0,3,Yes,White American or European American,Male
33,"Plantation, Florida",Plantation,Florida,3,2016,party guests,unknown,1,4,5,Unknown,Unknown,Unknown
34,Wetumpka Drive-by,Wetumpka,Alabama,3,2016,random,terrorism,2,2,4,Unknown,Black American or African American,Male
35,Atlanta Nightclub shooting,Atlanta,Georgia,3,2016,random,anger,0,4,4,Unknown,Unknown,Unknown
36,Florida Family celebration ends in shooting,unknown,Florida,3,2016,Family,unknown,0,4,4,Unknown,Unknown,Unknown
37,"Elberton, Georgia murder-suicide",Elberton,Georgia,3,2016,Family,domestic dispute,2,2,3,Unknown,Unknown,Male
38,"Trenton, NJ sidewalk shooting",Trenton,New Jersey,3,2016,random,unknown,0,5,5,Unknown,Unknown,Unknown
39,Detroit Drive-by,Detroit,Michigan,3,2016,random,unknown,2,2,4,Unknown,Unknown,Unknown
40,"Pittsburgh, Pennsylvania",Pittsburgh,Pennsylvania,3,2016,random,terrorism,6,3,9,Unknown,Unknown,Male
41,Wilkinsburg BBQ cookout shootout,unknown,none,3,2016,random,terrorism,5,3,8,Unknown,Unknown,Male
42,"Kansas City, Kansas",Kansas City,Kansas,3,2016,neighbors,unknown,5,0,5,Unknown,Some other race,Male
43,"Lafayette, LA drive by",Lafayette,Louisiana,3,2016,random,unknown,0,4,4,Unknown,Unknown,Unknown
44,Kansas City Home Invasion,unknown,none,3,2016,neighbors,unknown,4,0,4,Unknown,Some other race,Male
45,"Chelsea, MA empty apartment party shooting",Chelsea,Massachusetts,3,2016,party guests,terrorism,1,6,7,Unknown,Some other race,Male
46,"Roswell, GA Hookah shootout",Roswell,Georgia,3,2016,random,anger,0,4,4,Unknown,Black American or African American,Male
47,Wichita Nightclub shooting,Wichita,Kansas,3,2016,random,anger,0,4,4,Unknown,Unknown,Unknown
48,Detroit Strip Club Shootout,Detroit,Michigan,2,2016,club members,anger,0,5,5,Unknown,Black American or African American,Male
49,Riverside restaurant shooting,unknown,none,2,2016,random,unknown,1,3,4,Unknown,Some other race,Male
50,"Woodbridge, Virginia",Woodbridge,Virginia,2,2016,random,unknown,2,2,4,Unknown,Black American or African American,Male
51,"Belfair, Washington",Belfair,Washington,2,2016,Family,domestic dispute,5,0,4,Unknown,White American or European American,Male
52,Excel Industries mass shooting,Hesston,Kansas,2,2016,random,unknown,3,14,17,Unclear,Black,M
53,"Hesston, Kansas",Hesston,Kansas,2,2016,random,psycho,4,14,17,Unknown,Black American or African American,Male
54,"Belfair, WA Family murder-suicide",Belfair,Washington,2,2016,Family,psycho,5,0,4,Unknown,White American or European American,Male
55,Arizona Family Murder,Glendale,Arizona,2,2016,Family,psycho,5,0,4,Unknown,White American or European American,Male
56,Missouri Highway shooting,unknown,none,2,2016,random,unknown,1,3,4,Unknown,Black American or African American,Male
57,Houston Drive-by,Houston,Texas,2,2016,random,unknown,0,5,5,Unknown,Unknown,Unknown
58,Kalamazoo shooting spree,Kalamazoo County,Michigan,2,2016,random,unknown,6,2,8,Unclear,White,M
59,"Iuka, Mississippi",Iuka,Mississippi,2,2016,Policeman,domestic dispute,2,3,4,Unknown,White American or European American,Male
60,Florida Hookah Bar Shooting,unknown,Florida,2,2016,random,anger,1,3,4,Unknown,Unknown,Unknown
61,Kalamazoo Uber Driver Spree Killing,unknown,none,2,2016,random,unknown,6,2,8,No,White American or European American,Male
62,"Vallejo, CA car shooting",Vallejo,California,2,2016,random,unknown,2,2,4,Unknown,Unknown,Unknown
63,Michigan school shooting,unknown,Michigan,2,2016,random,psycho,0,3,3,Unknown,Black American or African American,Male
64,"Orlando, Florida",Orlando,Florida,2,2016,random,terrorism,2,10,12,Unknown,Some other race,Male
65,Nightclub fight turns into shootout,unknown,none,2,2016,random,anger,1,7,8,Unknown,Unknown,Unknown
66,"Tampa, FL Strip club shooting",Tampa,Florida,2,2016,random,unknown,2,6,8,Unknown,Unknown,Unknown
67,"Los Angeles, CA street shooting",Los Angeles,California,2,2016,random,unknown,1,3,4,Unknown,Unknown,Unknown
68,Texas teen commits family murder suicide,unknown,Texas,2,2016,Family/Neighbors,psycho,4,0,3,Unknown,White American or European American,Male
69,New Orleans gas station shoot-out,New Orleans,Louisiana,1,2016,random,anger,0,3,3,Unknown,Black American or African American,Male
70,"Glendale, AZ House Party shooting",Glendale,Arizona,1,2016,random,anger,3,5,8,Unknown,Unknown,Male
71,"Caroline County, VA Family Murder Suicide",Caroline County,Virginia,1,2016,Family,psycho,2,2,3,Unknown,Unknown,Male
72,"Chesapeake, Virginia",Chesapeake,Virginia,1,2016,Family,psycho,6,0,5,Yes,White American or European American,Male
73,"Perris, CA Mexican restaurant shooting",Perris,California,1,2016,random,unknown,1,4,5,Unknown,Unknown,Male
74,Florida family murder,unknown,Florida,1,2016,Family,unknown,3,0,3,Unknown,White American or European American,Male
75,Los Angeles Drive-by,Los Angeles,California,1,2016,random,terrorism,2,2,4,Unknown,Unknown,Unknown
76,"Gloucester County, VA, House Party",Gloucester County,Virginia,1,2016,party guests,unknown,1,3,4,Unknown,Black American or African American,Male
77,"Wilmington, DE robbery",Wilmington,Delaware,1,2016,random,unknown,1,4,5,Unknown,Black American or African American,Male
78,"Roadside in Memphis, Tennessee",Memphis,Tennessee,1,2016,random,unknown,1,3,4,Unknown,Unknown,Unknown
79,"Residence in Lakeland, Florida",Lakeland,Florida,1,2016,drug dealer,unknown,3,1,4,Unknown,Black American or African American,Male
80,"Omaha, Nebraska",Omaha,Nebraska,12,2015,random,unknown,2,3,5,Unknown,Black American or African American,Male
81,San Bernardino mass shooting,San Bernardino,California,12,2015,random,terrorism,14,21,35,Unclear,Other,M/F
82,"San Bernardino, California",San Bernardino,California,12,2015,party guests,terrorism,16,21,35,Unknown,Asian American,Male/Female
83,Planned Parenthood clinic,Colorado Springs,Colorado,11,2015,random,unknown,3,9,12,Unclear,White,M
84,"Columbus, Ohio",Columbus,Ohio,11,2015,neighbors,unknown,4,1,4,Unknown,White American or European American,Male
85,"Minneapolis, Minnesota",Minneapolis,Minnesota,11,2015,protestors,racism,0,5,5,Unknown,White American or European American,Male
86,"Tennessee Colony, Texas",Tennessee Colony,Texas,11,2015,random,unknown,6,0,6,Unknown,White American or European American,Male
87,"Jacksonville, Florida",Jacksonville,Florida,11,2015,Family,domestic dispute,4,1,4,Unknown,Black American or African American,Male
88,"Waycross, GA",Waycross,Georgia,11,2015,Family,psycho,1,2,3,Yes,Black American or African American,Male
89,"Oakland, Maine",Oakland,Maine,11,2015,Family,domestic dispute,4,0,3,Unknown,Unknown,Male
90,Colorado Springs,Colorado Springs,Colorado,10,2015,random,terrorism,4,0,3,Unknown,White American or European American,Male
91,"Colerain Township, Ohio",Colerain Township,Ohio,10,2015,Family,unknown,2,1,3,Unknown,White American or European American,Male
92,Northern Arizona University at Flagstaff Campus,Flagstaff,Arizona,10,2015,Students,anger,1,3,4,Unknown,White American or European American,Male
93,Umpqua Community College,Roseburg,Oregon,10,2015,Students,terrorism,10,7,16,Unknown,Two or more races,Male
94,"Inglis, Florida",Inglis,Florida,10,2015,Ex-Wife,anger,3,1,3,Unknown,White American or European American,Male
95,Hill Haven Event Center (Formerly Club CJ's),Greenville,Georgia,9,2015,random,unknown,0,10,10,Unknown,Black American or African American,Male
96,"Platte, South Dakota",Platte,South Dakota,9,2015,Family,unknown,6,0,5,Unknown,White American or European American,Male
97,"Clearbrook (Greenwood), Minnesota",Clearbrook (Greenwood),Minnesota,9,2015,random,unknown,5,0,4,Yes,White American or European American,Male
98,"Bristol, Tennessee",Bristol,Tennessee,8,2015,Family,psycho,3,1,4,Unknown,White American or European American,Male
99,Virginia WDBJ live TV interview shooting,Roanoke,Virginia,8,2015,Coworkers,psycho,3,1,3,Unknown,Black American or African American,Male
100,Parking lot near Boys and Girls Club,Rochester,New York,8,2015,random,unknown,3,4,7,Unknown,Black American or African American,Male
101,"Houston, Texas",Houston,Texas,8,2015,Ex-Girlfriend,revenge,8,0,8,Unknown,Black American or African American,Male
102,"Grand 16 Theatre, Louisiana",Lafayette,Louisiana,7,2015,random,unknown,3,9,11,Yes,White American or European American,Male
103,Suwanee,Suwanee,Georgia,7,2015,Family,psycho,4,1,4,Unknown,White American or European American,Male
104,"Amnicola Training Center, Chattanooga",Chattanooga,Tennessee,7,2015,Marines,terrorism,5,3,7,Yes,White American or European American,Male
105,River Forest,River Forest,Illinois,7,2015,Family,domestic dispute,2,3,4,Unknown,Unknown,Male
106,Boom Boom Room,Morven,North Carolina,6,2015,random,anger,0,4,4,Unknown,Black American or African American/Unknown,Male
107,Charleston Church Shooting,Charleston,South Carolina,6,2015,random,terrorism,9,1,10,unknown,White,Male
108,Miami Gardens,Miami Gardens,Florida,6,2015,party guests,unknown,0,4,4,Unknown,Black American or African American,Male
109,Trestle Trail bridge shooting,Menasha,Wisconsin,6,2015,random,unknown,3,1,4,Yes,Latino,M
110,Deer Lodge,Deer Lodge,Montana,6,2015,Family,unknown,5,0,4,Unknown,White American or European American,Male
111,Cleveland,Cleveland,Ohio,5,2015,Ex-girlfriend,psycho,3,1,3,Unknown,Unknown,Male
112,Conyers,Conyers,Georgia,5,2015,random,psycho,3,2,4,Unknown,White American or European American,Male
113,Club Maxey's,Decatur,Illinois,5,2015,random,revenge,1,4,5,Unknown,Black American or African American,Male
114,Tucson,Tucson,Arizona,5,2015,Family,psycho,5,0,4,Yes,Unknown,Male
115,Annual motorcycle event in Newark,Newark,New Jersey,5,2015,random,terrorism,1,3,4,Unknown,Black American or African American,Male
116,Fox Cities Trestle Trail bridge over Little Lake Butte des Morts,Menasha,Wisconsin,5,2015,random,unknown,4,1,4,Yes,Unknown,Male
117,Milwaukee,Milwaukee,Wisconsin,5,2015,random,domestic dispute,2,3,5,No,Unknown,Male
118,Gates Pub,Gates,New York,4,2015,random,terrorism,1,6,7,Unknown,Black American or African American,Male
119,Killeen,Killeen,Texas,4,2015,random,unknown,2,3,5,Unknown,Black American or African American,Male
120,Phoenix,Phoenix,Arizona,4,2015,Family,unknown,5,0,4,Unknown,Some other race,Male
121,Rome,Rome,Georgia,4,2015,random,unknown,1,3,4,No,Black American or African American,Male
122,Indianapolis,Indianapolis,Indiana,4,2015,random,unknown,0,5,5,No,Unknown,Male
123,Daytona Beach,Daytona Beach,Florida,4,2015,random,unknown,0,4,4,No,Black American or African American,Male
124,Tulsa,Tulsa,Oklahoma,3,2015,Family,unknown,4,0,3,Unknown,Asian American,Male
125,Panama City Beach,Panama City Beach,Florida,3,2015,party guests,unknown,0,7,7,No,Black American or African American,Male
126,Little Water,Little Water,New Mexico,3,2015,Policeman,psycho,2,2,3,Unknown,Unknown,Male
127,Mesa,Mesa,Arizona,3,2015,random,unknown,1,5,6,No,White American or European American,Male
128,Cottonwood,Cottonwood,Alabama,3,2015,Family,unknown,3,1,3,No,White American or European American,Male
129,Brookhaven,Brookhaven,Mississippi,3,2015,House Owner,unknown,2,3,5,Unknown,Black American or African American,Male
130,Tarboro,Tarboro,North Carolina,2,2015,random,terrorism,4,0,3,Yes,Black American or African American,Male
131,Birmingham's Washington Park,Birmingham,Alabama,2,2015,Friends,psycho,1,2,3,No,Black American or African American,Male
132,Tyrone,Tyrone,Missouri,2,2015,Family,psycho,8,1,8,No,White American or European American,Male
133,Charlotte,Charlotte,North Carolina,2,2015,Contestant,unknown,3,0,3,No,Some other race,Male
134,Clarkesville,Clarkesville,Georgia,2,2015,Ex-Wife,unknown,3,2,4,No,White American or European American,Male
135,Killeen,Killeen,Texas,2,2015,random,unknown,4,1,4,No,Black American or African American,Male
136,Chapel Hill,Chapel Hill,North Carolina,2,2015,neighbors,anger,3,0,3,No,White American or European American,Male
137,Moon Lake,New Port Richey,Florida,2,2015,random,terrorism,3,1,4,No,White American or European American/Some other Race,Male/Female
138,Monroeville Macy's,Monroeville,Pennsylvania,2,2015,random,unknown,0,3,3,No,Black American or African American,Male
139,Douglasville,Douglasville,Georgia,2,2015,Family,psycho,5,2,6,No,Black American or African American,Male
140,"King, North Carolina",King,North Carolina,2,2015,random,psycho,4,0,3,Unknown,White American or European American,Male
141,McAvan's Pub,Syracuse,New York,2,2015,Ex-Girlfriend & Family,revenge,0,6,6,No,Black American or African American,Male
142,LaGrange,LaGrange,Georgia,1,2015,Family,psycho,5,0,5,No,White American or European American,Male
143,Queens,New York City,New York,1,2015,Family,psycho,4,1,4,No,Black American or African American,Male
