month,year,state,permit,handgun,long_gun,other,multiple
10,2017,Alabama,20017,6144,6999,308,337
10,2017,Alaska,198,3153,3469,333,239
10,2017,Arizona,6097,10614,8055,1100,689
10,2017,Arkansas,3865,4873,7420,249,338
10,2017,California,49259,39879,25749,3646,0
10,2017,Colorado,4075,17238,15967,1428,1159
10,2017,Connecticut,5093,5112,2233,310,0
10,2017,Delaware,208,1602,1587,86,66
10,2017,District of Columbia,145,68,2,0,2
10,2017,Florida,18090,49568,24580,3958,2089
10,2017,Georgia,16145,12031,10482,483,538
10,2017,Guam,0,84,35,11,3
10,2017,Hawaii,1231,0,0,0,0
10,2017,Idaho,4710,3310,5517,269,222
10,2017,Illinois,17529,20093,12503,0,804
10,2017,Indiana,23109,15966,13202,1450,653
10,2017,Iowa,8034,126,3209,29,3
10,2017,Kansas,2341,5003,5818,433,346
10,2017,Kentucky,379403,8758,8739,371,496
10,2017,Louisiana,1817,9552,12222,827,617
10,2017,Maine,628,3076,5806,252,203
10,2017,Mariana Islands,0,4,4,0,1
10,2017,Maryland,2779,4332,5991,213,38
10,2017,Massachusetts,8116,4950,3030,450,137
10,2017,Michigan,20487,9807,12649,522,212
10,2017,Minnesota,34015,4834,14555,516,277
10,2017,Mississippi,1551,6690,7193,302,413
10,2017,Missouri,748,17985,19508,1464,1118
10,2017,Montana,1119,2578,5884,189,217
10,2017,Nebraska,3768,118,2469,11,4
10,2017,Nevada,1789,4361,2884,360,301
10,2017,New Hampshire,2019,4425,3568,147,5
10,2017,New Jersey,0,3798,3869,185,0
10,2017,New Mexico,1025,5651,4928,465,301
10,2017,New York,2877,8501,17695,1320,206
10,2017,North Carolina,22591,1501,13877,757,239
10,2017,North Dakota,632,1367,3732,134,86
10,2017,Ohio,10458,22833,18172,1593,1106
10,2017,Oklahoma,0,9485,10552,1066,956
10,2017,Oregon,4205,12356,11042,0,5
10,2017,Pennsylvania,26555,43923,15604,67,0
10,2017,Puerto Rico,0,1116,124,53,7
10,2017,Rhode Island,0,937,799,120,192
10,2017,South Carolina,9780,8269,7166,444,355
10,2017,South Dakota,720,2098,5636,182,159
10,2017,Tennessee,16465,21614,16131,1285,0
10,2017,Texas,30780,41780,39297,3633,2530
10,2017,Utah,11002,3075,4257,287,0
10,2017,Vermont,0,1324,1935,109,86
10,2017,Virgin Islands,49,19,0,0,0
10,2017,Virginia,1006,20450,16169,2637,0
10,2017,Washington,12602,14867,13022,2092,638
10,2017,West Virginia,2046,5527,7375,350,380
10,2017,Wisconsin,14488,11834,15385,830,60
10,2017,Wyoming,288,1321,2107,119,87
9,2017,Alabama,16717,5734,6320,221,317
9,2017,Alaska,209,2320,2930,219,160
9,2017,Arizona,5069,11063,7946,920,631
9,2017,Arkansas,2935,4347,6063,165,366
9,2017,California,57839,37165,24581,2984,0
9,2017,Colorado,4356,15751,13448,1007,1062
9,2017,Connecticut,4343,4834,1993,274,0
9,2017,Delaware,275,1414,1538,66,68
9,2017,District of Columbia,1,56,4,0,0
9,2017,Florida,10784,39199,17949,2319,1721
9,2017,Georgia,12074,10933,7982,315,494
9,2017,Guam,0,74,47,10,3
9,2017,Hawaii,946,0,0,0,0
9,2017,Idaho,5162,3058,5241,187,205
9,2017,Illinois,15712,18290,10201,0,814
9,2017,Indiana,18241,16093,11332,1123,597
9,2017,Iowa,5847,151,2640,27,1
9,2017,Kansas,1567,4518,5025,306,297
9,2017,Kentucky,378384,8112,7543,253,543
9,2017,Louisiana,1827,10495,11573,635,776
9,2017,Maine,783,3026,4220,179,186
9,2017,Mariana Islands,0,12,3,0,1
9,2017,Maryland,2424,3389,4897,168,34
9,2017,Massachusetts,7160,4749,2808,449,158
9,2017,Michigan,16571,8654,10676,379,163
9,2017,Minnesota,25645,4862,12677,346,273
